Question,Class
When was the first Crip gang started?,NUM
What does the name mean or come from?,DESC
Which cities have Crip gangs?,LOC
What ethnic group/race are Crip members?,DESC
What is their gang color?,DESC
What is the name of Durst's group?,ENTY
What record company is he with?,ENTY
What are titles of the group's releases?,DESC
Where was Durst born?,LOC
When was the comet discovered?,NUM
How often does it approach the earth?,NUM
In what countries was the comet visible on its last return?,LOC
When was James Dean born?,NUM
When did James Dean die?,NUM
How did he die?,DESC
What movies did he appear in?,ENTY
Which was the first movie that he was in?,ENTY
What does AARP stand for?,DESC
When was the organization started?,NUM
Where is its headquarters?,LOC
Who is its top official or CEO?,HUM
What companies has AARP endorsed?,ENTY
How long does one study as a Rhodes scholar?,NUM
Where do Rhodes scholars study?,LOC
Name famous people who have been Rhodes scholars.,ENTY
What countries have Rhodes scholars come from?,LOC
What kind of animal is an agouti?,DESC
What is their average life span?,NUM
In what countries are they found?,LOC
Who founded the Black Panthers organization?,HUM
When was it founded?,NUM
Where was it founded?,LOC
Who have been members of the organization?,HUM
Who are the members of this group?,HUM
What albums have they made?,ENTY
What is their style of music?,DESC
What is their biggest hit?,ENTY
What are prions made of?,DESC
Who discovered prions?,HUM
What diseases are prions associated with?,ENTY
What researchers have worked with prions?,HUM
Who is the lead singer/musician in Nirvana?,HUM
Who are the band members?,HUM
When was the band formed?,NUM
What is their biggest hit?,ENTY
What are their albums?,ENTY
What style of music do they play?,DESC
What industry is Rohm and Haas in?,DESC
Where is the company located?,LOC
What is their annual revenue?,NUM
How many employees does it have?,NUM
What film introduced Jar Jar Binks?,ENTY
What actor is used as his voice?,HUM
To what alien race does he belong?,ENTY
Horus is the god of what?,ENTY
What country is he associated with?,LOC
Who was his mother?,HUM
Who was his father?,HUM
Who are the members of the Rat Pack?,HUM
Who coined the name?,HUM
What Las Vegas hotel was made famous by the Rat Pack?,ENTY
What is the primary symptom of a cataract?,DESC
How are they treated?,DESC
Who are doctors that have performed cataract surgery?,HUM
When was the court established?,NUM
What kind of cases does it try?,DESC
Who is the sponsor of the court?,HUM
How many justices are members of the court?,NUM
What division (weight) did he win?,NUM
When did he win the title?,NUM
How old was he when he won the title?,NUM
Who did he beat to win the title?,HUM
Who beat him to take the title away?,HUM
List the names of boxers he fought.,HUM
What kind of a community is a Kibbutz?,DESC
With what country are they associated?,LOC
When was the first Kibbutz founded?,NUM
Where was the first Kibbutz founded?,LOC
How many are there now?,NUM
In what year did the first Concorde passenger flight take place?,NUM
What airlines have Concordes in their fleets?,ENTY
How many seats are in the cabin of a Concorde?,NUM
How fast does the Concorde fly?,NUM
What year was the first Concorde crash?,NUM
How many Club Med vacation spots are there worldwide?,NUM
List the spots in the United States.,LOC
Where is an adults-only Club Med?,LOC
Where was Franz Kafka born?,LOC
When was he born?,NUM
What is his ethnic background?,DESC
What books did he author?,ENTY
In what film is Gordon Gekko the main character?,ENTY
Who plays the role?,HUM
What year was the movie released?,NUM
What was Gekko's profession?,DESC
When was he born?,NUM
What nationality is he?,DESC
Where did he study architecture?,LOC
