Question,Class
When was the first Crip gang started?,UNC
What does the name mean or come from?,UNC
Which cities have Crip gangs?,UNC
What ethnic group/race are Crip members?,UNC
What is their gang color?,UNC
What is the name of Durst's group?,UNC
What record company is he with?,UNC
What are titles of the group's releases?,UNC
Where was Durst born?,LOC
When was the comet discovered?,UNC
How often does it approach the earth?,DESC
In what countries was the comet visible on its last return?,UNC
When was James Dean born?,UNC
When did James Dean die?,UNC
How did he die?,DESC
What movies did he appear in?,UNC
Which was the first movie that he was in?,UNC
What does AARP stand for?,UNC
When was the organization started?,UNC
Where is its headquarters?,LOC
Who is its top official or CEO?,HUM
What companies has AARP endorsed?,UNC
How long does one study as a Rhodes scholar?,DESC
Where do Rhodes scholars study?,LOC
Name famous people who have been Rhodes scholars.,UNC
What countries have Rhodes scholars come from?,UNC
What kind of animal is an agouti?,UNC
What is their average life span?,UNC
In what countries are they found?,UNC
Who founded the Black Panthers organization?,HUM
When was it founded?,UNC
Where was it founded?,LOC
Who have been members of the organization?,HUM
Who are the members of this group?,HUM
What albums have they made?,UNC
What is their style of music?,UNC
What is their biggest hit?,UNC
What are prions made of?,UNC
Who discovered prions?,HUM
What diseases are prions associated with?,UNC
What researchers have worked with prions?,UNC
Who is the lead singer/musician in Nirvana?,HUM
Who are the band members?,HUM
When was the band formed?,UNC
What is their biggest hit?,UNC
What are their albums?,UNC
What style of music do they play?,UNC
What industry is Rohm and Haas in?,UNC
Where is the company located?,LOC
What is their annual revenue?,UNC
How many employees does it have?,DESC
What film introduced Jar Jar Binks?,UNC
What actor is used as his voice?,UNC
To what alien race does he belong?,UNC
Horus is the god of what?,UNC
What country is he associated with?,UNC
Who was his mother?,HUM
Who was his father?,HUM
Who are the members of the Rat Pack?,HUM
Who coined the name?,HUM
What Las Vegas hotel was made famous by the Rat Pack?,UNC
What is the primary symptom of a cataract?,UNC
How are they treated?,DESC
Who are doctors that have performed cataract surgery?,HUM
When was the court established?,UNC
What kind of cases does it try?,UNC
Who is the sponsor of the court?,HUM
How many justices are members of the court?,DESC
What division (weight) did he win?,UNC
When did he win the title?,UNC
How old was he when he won the title?,DESC
Who did he beat to win the title?,HUM
Who beat him to take the title away?,HUM
List the names of boxers he fought.,UNC
What kind of a community is a Kibbutz?,UNC
With what country are they associated?,UNC
When was the first Kibbutz founded?,UNC
Where was the first Kibbutz founded?,LOC
How many are there now?,DESC
In what year did the first Concorde passenger flight take place?,UNC
What airlines have Concordes in their fleets?,UNC
How many seats are in the cabin of a Concorde?,DESC
How fast does the Concorde fly?,DESC
What year was the first Concorde crash?,UNC
How many Club Med vacation spots are there worldwide?,DESC
List the spots in the United States.,UNC
Where is an adults-only Club Med?,LOC
Where was Franz Kafka born?,LOC
When was he born?,UNC
What is his ethnic background?,UNC
What books did he author?,UNC
In what film is Gordon Gekko the main character?,UNC
Who plays the role?,HUM
What year was the movie released?,UNC
What was Gekko's profession?,UNC
When was he born?,UNC
What nationality is he?,UNC
Where did he study architecture?,LOC
What prizes or awards has he won?,UNC
What buildings has he designed?,UNC
What sport do they play?,UNC
When were they founded?,UNC
By whom were they founded?,UNC
What countries have they played in?,UNC
What kind of singer is Ice-T?,UNC
What was his original name?,UNC
When was he born?,UNC
Where was he born?,LOC
What are names of his albums?,UNC
What sport does Jennifer Capriati play?,UNC
Who is her coach?,HUM
Where does she live?,LOC
When was she born?,UNC
What kind of business is Abercrombie and Fitch?,UNC
When was it established?,UNC
Where was it established?,LOC
How many stores are there?,DESC
Why is the 'Tale of Genji' famous?,DESC
Who wrote it?,HUM
When was it written?,UNC
What is Al Jolson's real name?,UNC
What is his nationality?,UNC
Where was he born?,LOC
Who did he marry?,HUM
What songs did he sing?,UNC
What was Jean Harlow's real name?,UNC
Where was she born?,LOC
When did she die?,UNC
How old was she when she died?,DESC
What did she die of?,UNC
Where is she buried?,LOC
What movies did she appear in?,UNC
What leading men did she star opposite of?,UNC
What do practitioners of Wicca worship?,UNC
How many followers does it have?,DESC
Who is its leader?,HUM
What festivals does it have?,UNC
What is Florence Nightingale famous for?,UNC
When was she born?,UNC
Where was she born?,LOC
When did she die?,UNC
When did Amtrak begin operations?,UNC
How many passengers does it serve annually?,DESC
How many employees does it have?,DESC
Who is the president or chief executive of Amtrak?,HUM
Name cities that have an Amtrak terminal.,UNC
When did Jack Welch become chairman of General Electric?,UNC
How many years was he with GE?,DESC
When did he retire from GE?,UNC
How many people did he fire from GE?,DESC
In what country did this movement take place?,UNC
When did the Khmer Rouge come into power?,UNC
